frameNumber,1,2,3,4,5,6
106,379.2051999999941,227.32359999998562,-1,-1,-1,-1
106,358.16599999999755,278.24199999997717,-1,-1,-1,-1
107,371.40139999999207,232.35359999998548,-1,-1,-1,-1
107,360.6859999999958,280.64699999997686,-1,-1,-1,-1
108,370.88379999999006,237.38359999998534,-1,-1,-1,-1
108,360.723199999996,282.5519999999765,-1,-1,-1,-1
109,373.921799999988,242.16999999998507,-1,-1,-1,-1
109,361.5335999999958,284.00279999997616,-1,-1,-1,-1
110,374.0797999999878,244.23039999998477,-1,-1,-1,-1
110,370.1457999999941,284.90039999997583,-1,-1,-1,-1
111,374.09299999998825,243.38679999998445,-1,-1,-1,-1
111,376.24959999999237,285.28539999997554,-1,-1,-1,-1
112,374.1063999999887,240.10879999998417,-1,-1,-1,-1
112,386.3857999999905,284.6915999999752,-1,-1,-1,-1
113,374.11999999998915,234.8719999999839,-1,-1,-1,-1
113,390.85699999998917,281.6249999999749,-1,-1,-1,-1
114,374.92979999998875,232.70299999998375,-1,-1,-1,-1
114,390.8703999999896,277.46099999997466,-1,-1,-1,-1
115,383.3699999999868,233.24659999998343,-1,-1,-1,-1
115,389.64699999998925,271.43699999997455,-1,-1,-1,-1
116,389.0147999999847,236.15979999998316,-1,-1,-1,-1
116,377.4025999999872,266.0261999999744,-1,-1,-1,-1
117,389.09899999998294,237.524599999983,-1,-1,-1,-1
117,368.33819999998565,261.18499999997414,-1,-1,-1,-1
118,385.78519999998105,236.1637999999827,-1,-1,-1,-1
118,362.27759999998415,256.72999999997387,-1,-1,-1,-1
119,381.585199999979,232.28859999998247,-1,-1,-1,-1
119,359.29099999998243,252.7259999999736,-1,-1,-1,-1
120,374.92999999997687,226.81459999998233,-1,-1,-1,-1
120,361.434599999981,249.40399999997334,-1,-1,-1,-1
121,372.2461999999748,221.59379999998225,-1,-1,-1,-1
121,366.5323999999793,246.81959999997312,-1,-1,-1,-1
122,376.1071999999728,215.87079999998213,-1,-1,-1,-1
122,367.71339999997815,244.60799999997286,-1,-1,-1,-1
123,380.57319999997065,210.34879999998202,-1,-1,-1,-1
123,367.72779999997863,243.0899999999726,-1,-1,-1,-1
124,381.2435999999697,204.72659999998191,-1,-1,-1,-1
124,367.7421999999791,242.16599999997234,-1,-1,-1,-1
125,381.25719999997017,199.2045999999818,-1,-1,-1,-1
125,367.75579999997956,241.8689999999721,-1,-1,-1,-1
126,381.2731999999707,193.7827999999817,-1,-1,-1,-1
126,367.7717999999801,241.87439999997227,-1,-1,-1,-1
127,381.2875999999712,188.46179999998162,-1,-1,-1,-1
127,367.78619999998057,241.87979999997245,-1,-1,-1,-1
128,381.30199999997166,183.2407999999815,-1,-1,-1,-1
128,367.80059999998105,241.88499999997262,-1,-1,-1,-1
129,381.30819999997186,178.2207999999814,-1,-1,-1,-1
129,367.80679999998125,241.8899999999728,-1,-1,-1,-1
130,381.3161999999721,173.1005999999813,-1,-1,-1,-1
130,367.8147999999815,241.89499999997295,-1,-1,-1,-1
131,381.3239999999724,167.6787999999812,-1,-1,-1,-1
131,367.8225999999818,241.90039999997313,-1,-1,-1,-1
132,381.32859999997254,162.28279999998114,-1,-1,-1,-1
132,367.82719999998193,242.675599999973,-1,-1,-1,-1
133,381.3395999999729,157.9721999999811,-1,-1,-1,-1
133,367.8381999999823,245.36079999997276,-1,-1,-1,-1
134,381.34339999997303,155.57659999998108,-1,-1,-1,-1
134,367.8419999999824,250.26359999997254,-1,-1,-1,-1
135,381.3449999999731,156.24139999998113,-1,-1,-1,-1
135,367.8435999999825,255.69619999997238,-1,-1,-1,-1
136,381.34639999997313,159.26539999998113,-1,-1,-1,-1
136,367.8449999999825,261.0685999999719,-1,-1,-1,-1
137,381.3487999999732,164.16619999998105,-1,-1,-1,-1
137,367.8473999999826,265.77459999997166,-1,-1,-1,-1
138,381.3597999999736,169.3971999999809,-1,-1,-1,-1
138,367.85839999998296,269.93979999997134,-1,-1,-1,-1
139,381.36499999997375,174.82979999998074,-1,-1,-1,-1
139,367.86359999998314,273.69279999997093,-1,-1,-1,-1
140,381.3667999999738,179.9601999999806,-1,-1,-1,-1
140,367.8653999999832,276.7017999999706,-1,-1,-1,-1
141,381.36839999997386,185.39279999998044,-1,-1,-1,-1
141,367.86699999998325,279.3207999999703,-1,-1,-1,-1
142,381.3697999999739,190.4227999999803,-1,-1,-1,-1
142,367.8683999999833,281.22579999997,-1,-1,-1,-1
143,381.372599999974,195.95579999998014,-1,-1,-1,-1
143,367.8711999999834,282.74379999996967,-1,-1,-1,-1
144,381.38259999997433,201.58919999998,-1,-1,-1,-1
144,367.8811999999837,283.3037999999693,-1,-1,-1,-1
145,381.39779999997484,206.80539999997984,-1,-1,-1,-1
145,367.8963999999842,281.90859999996894,-1,-1,-1,-1
146,381.3993999999749,212.33839999997969,-1,-1,-1,-1
146,367.8979999999843,279.64659999996854,-1,-1,-1,-1
147,381.40079999997494,217.56979999997952,-1,-1,-1,-1
147,367.8993999999843,276.9581999999682,-1,-1,-1,-1
148,381.4059999999751,223.20319999997938,-1,-1,-1,-1
148,367.9045999999845,274.6677999999679,-1,-1,-1,-1
149,381.4173999999755,228.6357999999792,-1,-1,-1,-1
149,367.9159999999849,273.0531999999675,-1,-1,-1,-1
150,381.41879999997553,233.76619999997908,-1,-1,-1,-1
150,367.9173999999849,272.06379999996716,-1,-1,-1,-1
151,381.4201999999756,239.09819999997893,-1,-1,-1,-1
151,367.91879999998497,271.5867999999668,-1,-1,-1,-1
152,381.42179999997563,244.63119999997878,-1,-1,-1,-1
152,367.920399999985,271.5561999999668,-1,-1,-1,-1
153,381.4233999999757,249.96239999997863,-1,-1,-1,-1
153,367.9219999999851,271.561599999967,-1,-1,-1,-1
154,381.4259999999758,255.29479999997847,-1,-1,-1,-1
154,367.92459999998516,271.466399999967,-1,-1,-1,-1
155,381.4273999999758,260.48939999997793,-1,-1,-1,-1
155,367.9259999999852,269.9195999999665,-1,-1,-1,-1
156,381.4289999999759,265.6203999999772,-1,-1,-1,-1
156,367.92759999998526,268.4099999999662,-1,-1,-1,-1
157,381.4303999999759,270.72579999997674,-1,-1,-1,-1
157,367.9289999999853,267.40639999996586,-1,-1,-1,-1
158,381.431999999976,275.3173999999764,-1,-1,-1,-1
158,367.93059999998536,266.9435999999655,-1,-1,-1,-1
159,381.433399999976,279.71719999997606,-1,-1,-1,-1
159,367.9319999999854,266.9129999999655,-1,-1,-1,-1
